id,type,domain,enabled,date_added,date_modified,comment
1,0,int.royaleglen.net,1,1606530876,1718809897,"RGnet Internal Domain"
2,3,^(.+[_.-])?adse?rv(er?|ice)?s?[0-9]*[_.-],1,1607133148,1718809897,github.com/mmotti/pihole-regex
3,3,^(.+[_.-])?telemetry[_.-],1,1607133148,1718809897,github.com/mmotti/pihole-regex
4,3,"^ad([sxv]?[0-9]*|system)[_.-]([^.[:space:]]+\.){1,}|[_.-]ad([sxv]?[0-9]*|system)[_.-]",1,1607133148,1718809897,github.com/mmotti/pihole-regex
5,3,^adim(age|g)s?[0-9]*[_.-],1,1607133148,1718809897,github.com/mmotti/pihole-regex
6,3,^adtrack(er|ing)?[0-9]*[_.-],1,1607133148,1718809897,github.com/mmotti/pihole-regex
7,3,^advert(s|is(ing|ements?))?[0-9]*[_.-],1,1607133148,1718809897,github.com/mmotti/pihole-regex
8,3,^aff(iliat(es?|ion))?[_.-],1,1607133148,1718809897,github.com/mmotti/pihole-regex
9,3,^analytics?[_.-],1,1607133148,1718809897,github.com/mmotti/pihole-regex
10,3,^banners?[_.-],1,1607133148,1718809897,github.com/mmotti/pihole-regex
11,3,^beacons?[0-9]*[_.-],1,1607133148,1718809897,github.com/mmotti/pihole-regex
12,3,^count(ers?)?[0-9]*[_.-],1,1607133148,1718809897,github.com/mmotti/pihole-regex
13,3,^mads\.,1,1607133148,1718809897,github.com/mmotti/pihole-regex
14,3,^pixels?[-.],1,1607133148,1718809897,github.com/mmotti/pihole-regex
15,3,^stat(s|istics)?[0-9]*[_.-],1,1607133148,1718809897,github.com/mmotti/pihole-regex
16,3,(.*)\.g00\.(.*),1,1607133362,1718809897,
17,0,secure-dcr.imrworldwide.com,1,1607227428,1718809897,"Added from Query Log"
35,1,d2yyd1h5u9mauk.cloudfront.net,1,1608776252,1718809897,"Unifi Survey"
50,0,telemetry.api.2kcoretech.online,1,1609898884,1718809897,"PGA 2K21"
65,0,www.houzz.com,1,1610762913,1718809897,"Added from Query Log"
86,1,iadcontent.apple.com,1,1631068488,1718809897,
101,1,www.easy4ip.com,1,1637293459,1718809897,"Added from Query Log"
116,2,(\.|^)cws\.conviva\.com$,0,1659405845,1718809897,
131,0,wallet-api.urbanairship.com,1,1687974145,1718809897,"Added from Query Log"
148,2,ads-[*]-darwin.hulustream.com,1,1693878752,1718809897,
149,2,(\.|^)hulustream\.com$,1,1693880556,1718809897,
164,0,assets.huluim.com,1,1710811446,1718809897,"Added from Query Log"
165,2,(\.|^)ad\.eqlipsetechnologies\.com$,0,1718810146,1718814867,"Kate's corporate AD"
